number,segment,content,option_a,option_b,option_c,option_d,option_e,score_a,score_b,score_c,score_d,score_e,discussion,sub_category
1,TWK,"Di tengah gempuran tren *fashion* dari luar negeri, banyak generasi muda yang lebih bangga menggunakan merek asing. Seorang pemuda pengrajin lokal berusaha membuat sepatu dengan motif tenun tradisional yang desainnya disesuaikan dengan selera anak muda masa kini. Tindakan pemuda tersebut mencerminkan sikap nasionalisme karena...",Menolak masuknya budaya asing secara total di pasar domestik,Mengadaptasi budaya lokal agar lebih modern sehingga mampu bersaing dan meningkatkan kebanggaan pada produk dalam negeri,Memaksa generasi muda untuk meninggalkan merek asing dan beralih ke produk buatannya,Mencari simpati pemerintah agar mendapatkan bantuan modal usaha,Memanfaatkan motif tradisional semata-mata untuk keuntungan finansial pribadi,0,5,0,0,0,Nasionalisme yang adaptif. Memodernisasi produk lokal agar relevan dengan zaman adalah cara efektif untuk menumbuhkan kembali kebanggaan (nasionalisme) generasi muda terhadap identitas budayanya tanpa harus bersikap anti-asing secara buta.,Nasionalisme
2,TWK,"Sikap chauvinisme adalah bentuk rasa cinta tanah air yang berlebihan hingga merendahkan bangsa lain. Dalam pergaulan internasional, sikap yang paling tepat untuk menunjukkan nasionalisme Indonesia yang menolak chauvinisme adalah...",Mengisolasi diri dari pergaulan internasional agar budaya bangsa tidak luntur,Membanggakan kebudayaan nasional di forum global sambil tetap menghargai dan mempelajari keunggulan budaya negara lain,Menyatakan bahwa sistem demokrasi Indonesia adalah yang paling sempurna di dunia,Memaksakan nilai-nilai Pancasila untuk diterapkan oleh negara-negara tetangga,Menolak memberikan bantuan kemanusiaan kepada negara lain karena kebutuhan dalam negeri masih banyak,0,5,0,0,0,"Nasionalisme Indonesia berdasarkan Pancasila bersifat inklusif (kemanusiaan yang adil dan beradab). Kita bangga dengan identitas bangsa, namun tetap menghormati eksistensi, kedaulatan, dan kebudayaan bangsa lain.",Nasionalisme
3,TWK,"Anda bekerja di sebuah instansi yang pegawainya berasal dari berbagai daerah di Indonesia. Suatu ketika, beberapa rekan kerja sering menggunakan bahasa daerah mereka masing-masing saat rapat tim, sehingga Anda yang tidak mengerti merasa dikucilkan. Sikap yang mencerminkan nasionalisme dan persatuan adalah...",Melaporkan mereka ke atasan agar diberikan sanksi pemotongan gaji,Membalas dengan menggunakan bahasa daerah Anda sendiri agar mereka tahu rasanya,Mengingatkan dengan sopan agar menggunakan bahasa Indonesia selama di lingkungan kerja demi kenyamanan dan komunikasi yang efektif,Diam saja dan mencoba merekam pembicaraan mereka untuk diterjemahkan nanti,Keluar dari ruang rapat sebagai bentuk protes karena merasa tidak dihargai,0,0,5,0,0,Mengutamakan persatuan bangsa di atas ikatan kedaerahan. Mengingatkan penggunaan Bahasa Indonesia sebagai bahasa persatuan adalah wujud menjaga komunikasi yang inklusif dan mencegah etnosentrisme di tempat kerja.,Nasionalisme
4,TWK,"Seorang atlet bulu tangkis Indonesia mengalami cedera parah sebelum pertandingan final Olimpiade. Meskipun disarankan mundur oleh tim medis, ia tetap bersikeras bertanding menahan sakit dan akhirnya meraih medali emas untuk Indonesia. Nilai nasionalisme yang paling menonjol dari tindakan atlet tersebut adalah...",Rela berkorban demi mengharumkan nama bangsa di kancah internasional,Keras kepala dalam mencapai ambisi pribadi untuk menjadi juara,Keinginan untuk mendapatkan bonus besar dari pemerintah,Ketidakpercayaan terhadap diagnosis yang diberikan oleh tim medis,Keinginan untuk membuktikan kehebatannya kepada lawan,5,0,0,0,0,"Rela berkorban (mengorbankan kenyamanan/kondisi fisik pribadi) demi tujuan yang lebih besar, yaitu mengibarkan bendera merah putih dan mengharumkan nama negara, adalah wujud murni dari patriotisme dan nasionalisme.",Nasionalisme
5,TWK,"Pemerintah sedang menggalakkan program transmigrasi untuk pemerataan penduduk dan pembangunan. Namun, sering kali terjadi gesekan antara penduduk asli dan pendatang karena perbedaan adat. Upaya preventif pemerintah yang paling berlandaskan semangat kebangsaan adalah...",Membangun tembok pemisah antara pemukiman penduduk asli dan pendatang,Membekali pendatang dengan pemahaman lintas budaya dan memfasilitasi forum silaturahmi rutin antara kedua kelompok,Mewajibkan pendatang untuk membuang seluruh identitas daerah asalnya,Memulangkan kembali pendatang jika terjadi konflik sekecil apa pun,Memberikan senjata kepada penduduk asli untuk menjaga wilayahnya,0,5,0,0,0,Nasionalisme mengedepankan persatuan dalam keberagaman. Edukasi lintas budaya (*cross-cultural understanding*) dan forum silaturahmi adalah mitigasi kultural untuk membangun rasa saling menghargai (*mutual respect*).,Nasionalisme
6,TWK,"Di masa lalu, pemuda-pemuda dari berbagai daerah rela meninggalkan identitas organisasi kedaerahannya (Jong Java, Jong Ambon, dll) untuk bersatu dalam Sumpah Pemuda 1928. Relevansi semangat pengorbanan ini bagi ASN masa kini adalah...",Rela bekerja tanpa dibayar lembur oleh negara,Meninggalkan budaya daerah asal secara total agar terlihat sebagai warga negara modern,Melepaskan ego sektoral atau ego instansi demi mencapai target program pembangunan nasional yang terpadu,Menolak mutasi kerja ke luar pulau jawa karena alasan kenyamanan keluarga,Berani menentang kebijakan pimpinan yang berasal dari suku yang berbeda,0,0,5,0,0,"Sumpah pemuda meleburkan ego kedaerahan. Dalam birokrasi, ini diterjemahkan sebagai peleburan 'ego sektoral/instansi' agar kementerian/lembaga mau berkolaborasi demi tujuan nasional, bukan sekadar pamor instansinya sendiri.",Nasionalisme
7,TWK,Sila kelima Pancasila menekankan Keadilan Sosial bagi Seluruh Rakyat Indonesia. Wujud nyata dari implementasi nilai tersebut oleh pemerintah dalam bidang infrastruktur digital saat ini adalah...,Membangun jaringan internet 5G hanya di kota-kota besar yang memiliki perputaran ekonomi tinggi,Memberikan subsidi kuota internet kepada seluruh pegawai negeri sipil tanpa terkecuali,"Mempercepat pembangunan *Base Transceiver Station* (BTS) dan akses internet di wilayah 3T (Tertinggal, Terdepan, Terluar) agar tidak terjadi kesenjangan digital",Membatasi penggunaan media sosial bagi masyarakat pedesaan agar tidak terpengaruh budaya asing,Menutup akses internet luar negeri agar masyarakat hanya menggunakan situs lokal,0,0,5,0,0,"Keadilan sosial berarti pemerataan akses dan kesempatan, bukan berpusat di Pulau Jawa atau kota besar saja (Jawasentris). Membangun fasilitas dasar di wilayah 3T adalah wujud pemerataan keadilan bagi seluruh rakyat.",Pilar Negara
8,TWK,"Pancasila berfungsi sebagai pandangan hidup bangsa (*Way of Life*). Artinya, dalam kehidupan sehari-hari masyarakat Indonesia, Pancasila berperan sebagai...",Dasar hukum untuk menjatuhkan pidana bagi pelanggar lalu lintas,"Petunjuk arah dan pedoman moral dalam berpikir, bersikap, dan bertingkah laku dalam keseharian",Alat kekuasaan pemerintah untuk membatasi kebebasan berpendapat lawan politik,Syarat mutlak untuk mendapatkan bantuan langsung tunai dari pemerintah,Teks yang wajib dihafalkan oleh setiap anak sekolah sebelum memulai pelajaran,0,5,0,0,0,"Pancasila sebagai Pandangan Hidup Bangsa (*Way of Life*) berarti nilai-nilainya (ketuhanan, kemanusiaan, persatuan, kerakyatan, keadilan) menjadi kompas moral dan pedoman perilaku masyarakat dalam kehidupan sehari-hari.",Pilar Negara
9,TWK,"Toleransi antarumat beragama adalah pengamalan Sila Kesatu dan Kedua Pancasila. Ketika terjadi musibah banjir bandang di sebuah desa yang mayoritas penduduknya berbeda agama dengan Anda, sikap yang paling mencerminkan pilar negara tersebut adalah...",Hanya mengirimkan doa tanpa memberikan bantuan fisik karena takut salah paham,Menggalang dana dan turun langsung membantu perbaikan fasilitas umum dan rumah warga tanpa memandang latar belakang agama mereka,Memberikan bantuan dengan syarat mereka mau mempelajari ajaran agama Anda,Menyarankan pemerintah daerah saja yang turun tangan karena itu bukan urusan pribadi,Membantu sekadarnya saja karena merasa tidak memiliki kedekatan identitas,0,5,0,0,0,"Sila Pertama (agama) dan Sila Kedua (kemanusiaan) menghendaki kita membantu sesama manusia yang sedang tertimpa musibah secara tulus, tanpa diskriminasi atau agenda terselubung terkait perbedaan agama.",Pilar Negara
10,TWK,"Dalam sebuah rapat RT mengenai rencana pembangunan gapura desa, terjadi perbedaan pendapat yang cukup panas antara golongan pemuda dan tetua desa. Ketua RT kemudian menengahi dan mengajak kedua pihak mencari titik temu yang bisa diterima bersama. Hal ini merupakan cerminan nyata dari Sila...",Pertama,Kedua,Ketiga,Keempat,Kelima,0,0,0,5,0,Mengedepankan musyawarah untuk mufakat dalam menyelesaikan perbedaan pendapat dan tidak memaksakan kehendak adalah butir pengamalan mutlak dari Sila Keempat Pancasila.,Pilar Negara
11,TWK,Amandemen UUD 1945 dilakukan untuk menyempurnakan aturan dasar tata negara. Salah satu pasal krusial yang diamandemen adalah mengenai masa jabatan Presiden (Pasal 7) yang dibatasi maksimal dua periode. Alasan filosofis ketatanegaraan dari pembatasan ini adalah...,Agar anggaran pemilu bisa dialokasikan lebih sering untuk menggerakkan ekonomi,Mencegah lahirnya kekuasaan absolut (otoritarianisme) dan menjamin regenerasi kepemimpinan nasional yang demokratis,Memberikan kesempatan kepada partai politik kecil untuk bisa mengusung calon presiden,Agar presiden tidak memiliki beban kerja yang terlalu berat selama masa hidupnya,Menyesuaikan dengan permintaan dari lembaga-lembaga internasional,0,5,0,0,0,Kekuasaan yang terlalu lama cenderung korup (*Power tends to corrupt*). Pembatasan masa jabatan presiden maksimal dua periode adalah amanat reformasi untuk mencegah diktatorisme dan menjamin sirkulasi demokrasi.,Pilar Negara
12,TWK,"Pasal 27 ayat (2) UUD 1945 menyatakan bahwa tiap-tiap warga negara berhak atas pekerjaan dan penghidupan yang layak bagi kemanusiaan. Namun, kewajiban warga negara yang selaras dengan pemenuhan hak tersebut dalam pembangunan ekonomi adalah...",Menuntut negara untuk memberikan pekerjaan kepadanya bagaimanapun caranya,Membayar pajak dengan patuh untuk membiayai program penciptaan lapangan kerja dan pembangunan fasilitas publik oleh negara,Menghindari pembayaran retribusi daerah karena merasa belum mendapat pekerjaan dari negara,Meminta santunan sosial setiap bulan kepada dinas sosial setempat,Menyalahkan pemerintah setiap kali terjadi pemutusan hubungan kerja (PHK) di perusahaan swasta,0,5,0,0,0,"Hak dan kewajiban warga negara harus seimbang. Hak mendapat penghidupan layak berjalan lurus dengan kewajiban berpartisipasi dalam ekonomi negara, salah satunya adalah patuh membayar pajak untuk pembiayaan pembangunan.",Pilar Negara
13,TWK,"Bhinneka Tunggal Ika bukan sekadar semboyan, melainkan prinsip dalam pengambilan kebijakan. Jika sebuah instansi pemerintah membuka lowongan CPNS, penerapan prinsip Bhinneka Tunggal Ika yang tepat adalah...",Memprioritaskan pelamar yang memiliki kesamaan suku dengan kepala instansi tersebut,Menerapkan sistem kuota agar semua agama memiliki jumlah pegawai yang sama persis di instansi tersebut,"Membuka kesempatan yang sama (inklusif) bagi seluruh WNI yang memenuhi syarat kompetensi, tanpa membedakan ras, suku, agama, dan golongan",Hanya menerima pelamar dari wilayah Indonesia bagian timur sebagai bentuk afirmasi mutlak,Menutup pendaftaran bagi pelamar yang memiliki dialek daerah yang kental agar terlihat profesional,0,0,5,0,0,"Kebhinnekaan dalam birokrasi diwujudkan melalui sistem merit yang adil, terbuka, dan non-diskriminatif (inklusif). Seseorang diterima berdasarkan kompetensinya, tanpa dihalangi oleh latar belakang SARA.",Pilar Negara
14,TWK,Bentuk negara Kesatuan Republik Indonesia (NKRI) seringkali digugat oleh kelompok yang menginginkan bentuk negara serikat (federalisme). Keunggulan bentuk Negara Kesatuan bagi bangsa Indonesia yang majemuk dibandingkan negara serikat adalah...,Negara kesatuan memberikan kekuasaan mutlak bagi presiden untuk mengatur seluruh kekayaan alam,"Negara kesatuan lebih menjamin integrasi nasional, mencegah sentimen kedaerahan yang ekstrem, serta memudahkan pemerataan pembangunan antarwilayah",Negara kesatuan memungkinkan setiap provinsi untuk memiliki undang-undang dasar dan angkatan bersenjata sendiri,Negara serikat terlalu memakan biaya untuk operasional pemerintahan pusat,Negara kesatuan didukung secara penuh oleh negara-negara bekas penjajah,0,5,0,0,0,"Bagi Indonesia yang sangat majemuk, bentuk federal (serikat) berisiko memicu perpecahan/separatisme karena kuatnya loyalitas pada negara bagian. Negara Kesatuan (NKRI) diyakini paling solid untuk menjaga integrasi nasional dari Sabang sampai Merauke.",Pilar Negara
15,TWK,"Anda bekerja sebagai staf pelayanan izin mendirikan bangunan (IMB). Seorang kerabat jauh mendatangi meja Anda dan menyelipkan amplop berisi uang agar izin usahanya bisa keluar hari itu juga, padahal dokumennya belum lengkap. Sikap integritas Anda yang paling tepat adalah...","Menerima amplop tersebut karena ia adalah kerabat, namun tetap memprosesnya sesuai waktu standar",Menolak secara tegas dengan nada marah karena merasa dilecehkan sebagai aparatur negara,"Menolak amplop tersebut dengan sopan, mengembalikannya, lalu membimbing kerabat Anda melengkapi dokumen sesuai prosedur hukum yang berlaku",Menerima amplop tersebut dan menyumbangkannya ke masjid karena niat Anda bukan untuk memperkaya diri,Mengambil berkasnya dan meninggalkannya begitu saja tanpa memberikan penjelasan,0,0,5,0,0,Integritas berarti menolak gratifikasi/suap dalam kondisi apa pun (termasuk dari kerabat). Penolakan dilakukan secara sopan dan tetap melayani kewajiban profesi (membimbing melengkapi berkas sesuai prosedur).,Integritas
16,TWK,Seorang auditor pemerintah menemukan adanya mark-up (penggelembungan) anggaran proyek pengadaan komputer di dinas pendidikan. Kepala dinas tersebut menawarkan promosi jabatan kepada sang auditor jika ia mau memanipulasi temuan tersebut. Sikap berintegritas yang wajib diambil auditor adalah...,Menerima tawaran promosi demi kelancaran karir di masa depan,Meminta waktu untuk berpikir sambil mencari celah agar tidak ada yang dirugikan,Menolak tawaran tersebut dan tetap melaporkan temuan mark-up sesuai data audit yang sebenarnya secara profesional,Menyetujui manipulasi tersebut asalkan ia diberikan bagian uang dari mark-up anggaran,Melaporkan tawaran promosi tersebut kepada media massa agar kepala dinas langsung dicopot,0,0,5,0,0,Integritas profesi auditor mensyaratkan independensi dan objektivitas. Mengorbankan kebenaran temuan audit demi promosi jabatan adalah pelanggaran etika berat dan tindak pidana korupsi.,Integritas
17,TWK,"Integritas tidak hanya tentang menghindari korupsi uang, tetapi juga korupsi waktu. Seorang PNS sering datang terlambat dan pulang lebih awal untuk mengurus bisnis pribadi *laundry*-nya di rumah. Perilaku ini bertentangan dengan nilai dasar integritas, yaitu...",Keberanian,Kepedulian,Kedisiplinan dan Tanggung Jawab,Keadilan,Kesederhanaan,0,0,5,0,0,Datang tepat waktu dan menggunakan jam kerja untuk melayani publik (bukan bisnis pribadi) adalah penerapan nyata dari nilai Kedisiplinan dan Tanggung Jawab moral sebagai abdi negara.,Integritas
18,TWK,"Pimpinan Anda sering menggunakan fasilitas mobil dinas kantor untuk rekreasi bersama keluarganya ke luar kota setiap akhir pekan. Sebagai bawahan yang mengetahui hal tersebut, tindakan yang mencerminkan integritas institusi adalah...",Meminta izin untuk meminjam mobil dinas tersebut di akhir pekan berikutnya agar adil,"Mengingatkan pimpinan secara sopan bahwa hal tersebut menyalahi aturan, dan jika terus berlanjut berani melaporkannya melalui saluran pengaduan internal (Whistleblowing System)",Mengabadikan momen tersebut dengan kamera dan menyebarkannya di media sosial agar viral,Diam saja karena merasa bukan kapasitas bawahan untuk menegur pimpinan,Menyabotase mesin mobil dinas tersebut agar tidak bisa digunakan di akhir pekan,0,5,0,0,0,Kendaraan dinas dibeli dengan uang rakyat untuk keperluan dinas. Menegur pimpinan secara sopan (bila memungkinkan) atau menggunakan sistem pelaporan resmi (WBS) adalah langkah menjaga integritas organisasi tanpa melanggar etika birokrasi.,Integritas
19,TWK,Anda ditunjuk sebagai bendahara kegiatan yang baru saja selesai dilaksanakan. Terdapat sisa anggaran yang cukup lumayan. Ketua panitia menyarankan agar sisa dana tersebut dibagikan kepada panitia sebagai 'uang lelah'. Tindakan Anda sebagai bendahara yang berintegritas adalah...,Menyetujui saran tersebut karena panitia memang sudah bekerja sangat keras melampaui jam kerja,Mengusulkan agar uang tersebut digunakan untuk makan bersama sebagai bentuk perayaan suksesnya acara,Menolak dengan halus dan menyetorkan kembali seluruh sisa anggaran tersebut ke kas negara/daerah sesuai laporan pertanggungjawaban yang nyata,Membagikan sebagian uang tersebut dan sebagian lagi dikembalikan ke kas negara agar seimbang,Menyimpan uang tersebut di rekening pribadi untuk digunakan pada kegiatan tahun depan,0,0,5,0,0,Sisa anggaran APBN/APBD tidak boleh dibagi-bagikan (gratifikasi/penggelapan). Integritas bendahara menuntut kejujuran dalam penyusunan SPJ (Surat Pertanggungjawaban) dan penyetoran sisa uang kembali ke kas negara.,Integritas
20,TWK,Kesesuaian antara ucapan dan perbuatan adalah indikator utama seseorang memiliki integritas. Contoh paling relevan dari perilaku ini bagi seorang pemimpin di instansi pemerintahan adalah...,"Membuat aturan dilarang menerima bingkisan, lalu ia secara konsisten mengembalikan setiap parsel lebaran yang dikirimkan ke rumahnya","Berpidato tentang pentingnya hidup sederhana, namun datang ke kantor menggunakan mobil sport mewah keluaran terbaru","Menyuruh bawahan untuk datang tepat waktu, sementara dirinya sering datang terlambat dengan alasan rapat di luar","Menerapkan sistem meritokrasi, namun memberikan posisi strategis kepada keponakannya yang baru lulus kuliah","Mewajibkan pegawai untuk berhemat listrik, namun membiarkan AC di ruangannya menyala 24 jam penuh",5,0,0,0,0,Integritas adalah *walk the talk* (menjalankan apa yang diucapkan). Pemimpin yang melarang gratifikasi harus menjadi teladan pertama yang mempraktikkan pengembalian gratifikasi tersebut.,Integritas
21,TWK,"Bela negara bukan hanya mengangkat senjata (militer), tetapi juga ancaman nirmiliter di era digital. Seorang ASN bagian humas mendapati situs web pemerintah diretas dan diisi dengan konten judi *online*. Tindakan bela negara yang tepat adalah...",Menyebarkan tautan situs yang diretas tersebut ke grup WhatsApp agar semua orang tahu,Membiarkan saja karena itu adalah tanggung jawab penuh kementerian komunikasi dan informatika,"Berkoordinasi cepat dengan tim IT untuk *take down* (menurunkan) konten tersebut, memulihkan keamanan sistem, dan memberikan rilis klarifikasi kepada publik agar tidak terjadi kepanikan",Mencari *hacker* tersebut secara mandiri dan menantangnya berduel di dunia maya,Menutup total pelayanan publik di instansi tersebut sampai batas waktu yang tidak ditentukan,0,0,5,0,0,"Bela negara dari ancaman siber (cyber threat) dilakukan sesuai porsi/profesi. Staf humas harus memastikan keamanan informasi institusi terjaga, sistem segera diperbaiki oleh ahlinya (IT), dan publik ditenangkan dengan klarifikasi resmi.",Bela Negara
22,TWK,"Seorang guru honorer mengajar di pelosok Papua dengan fasilitas yang sangat terbatas. Ia harus berjalan kaki berkilo-kilometer setiap hari, namun ia pantang menyerah untuk mendidik anak-anak di sana agar bisa membaca dan menulis. Dalam konsepsi ketahanan nasional, sikap guru tersebut merupakan bentuk...",Keterpaksaan karena tidak lulus ujian calon pegawai negeri sipil di kota,Pencarian sensasi agar diundang ke stasiun televisi nasional,Bela negara melalui pengabdian sesuai profesi untuk memajukan kecerdasan bangsa di wilayah perbatasan,Hukuman dari pemerintah karena melakukan pelanggaran disiplin di masa lalu,Tugas wajib militer yang disamarkan dalam bentuk pendidikan,0,0,5,0,0,"Sesuai UU No. 3 Tahun 2002, bela negara warga sipil salah satunya diwujudkan melalui 'pengabdian sesuai dengan profesi'. Profesi guru di wilayah terpencil adalah garda terdepan penjaga kualitas SDM nasional.",Bela Negara
