number,segment,content,image_url,option_a,option_b,option_c,option_d,option_e,score_a,score_b,score_c,score_d,score_e,discussion,option_image_a,option_image_b,option_image_c,option_image_d,option_image_e
1,TWK,"Sikap nasionalisme dalam konteks global cenderung menekankan pada kecintaan terhadap bangsa secara eksklusif, bahkan berpotensi menumbuhkan sikap superior terhadap bangsa lain. Sementara itu, nasionalisme dalam konteks Indonesia lebih menekankan pada...",,Semangat keunggulan budaya lokal yang harus dikembangkan secara kompetitif terhadap budaya asing,Rasa cinta tanah air yang diwujudkan melalui perjuangan untuk kepentingan suku dan agama,Upaya memperkuat identitas nasional dengan menutup diri dari pengaruh luar yang merusak nilai luhur bangsa,"Kesadaran sebagai bangsa yang berdaulat dan beragam, dengan menjunjung persatuan serta penghargaan terhadap perbedaan",Dorongan untuk mempertahankan ideologi bangsa dengan menolak semua bentuk globalisasi budaya,5,0,0,0,0,,,,,,
2,TWK,"Pada masa penjajahan Belanda, akses pendidikan formal sangat terbatas bagi rakyat pribumi. Sekolah-sekolah kolonial lebih mengutamakan kepentingan pemerintah Hindia Belanda dan cenderung mengabaikan nilai-nilai kebudayaan lokal. Berdirinya Taman Siswa pada 1922 dilatarbelakangi oleh...",,Kebutuhan menyediakan pendidikan agama bagi masyarakat Jawa secara mandiri,Keinginan menciptakan sistem pendidikan yang bebas dari pengaruh Barat secara total,Reaksi terhadap sistem pendidikan kolonial yang diskriminatif dan tidak sesuai dengan jati diri bangsa,Harapan agar rakyat pribumi bisa lebih mudah diterima dalam pemerintahan kolonial,Ambisi Ki Hadjar Dewantara untuk bersaing dengan sekolah-sekolah Belanda secara akademik,5,0,0,0,0,,,,,,
3,TWK,Kongres Pemuda II pada tahun 1928 menjadi tonggak penting lahirnya semangat kebangsaan Indonesia. Ikrar dalam Sumpah Pemuda menunjukkan bahwa para pemuda mulai menyadari pentingnya...,,menyatukan perjuangan antar organisasi pemuda dalam satu arah nasional,membentuk negara Indonesia merdeka berdasarkan kebhinekaan daerah,memperjuangkan kesetaraan hak seluruh suku bangsa di bawah kolonialisme,melebur identitas kedaerahan ke dalam identitas nasional yang satu,membentuk kekuatan politik baru untuk menyaingi dominasi kolonial Belanda,5,0,0,0,0,,,,,,
4,TWK,"Dalam sidang PBB dan forum internasional lainnya, strategi utama yang digunakan Mohammad Hatta untuk memperjuangkan kemerdekaan Indonesia adalah…",,Menekankan hak penentuan nasib sendiri bagi bangsa Indonesia sebagai prinsip universal,Mengangkat penderitaan rakyat Indonesia akibat penjajahan sebagai isu kemanusiaan global,Menunjukkan kesiapan Indonesia membentuk pemerintahan sendiri secara konstitusional,Membuktikan bahwa Indonesia telah merdeka secara de facto dan de jure,Mendesak negara-negara besar agar tidak mengakui Belanda sebagai pemegang kedaulatan di Indonesia,5,0,0,0,0,,,,,,
5,TWK,Salah satu tantangan utama terhadap nasionalisme generasi muda di era digital adalah…,,Minimnya partisipasi pemuda dalam kegiatan sosial berbasis nilai kebangsaan,Maraknya penyebaran budaya populer global yang mengikis identitas lokal,Lemahnya kurikulum pendidikan karakter di lingkungan sekolah formal,Dominasi konten hiburan asing yang menurunkan minat terhadap budaya nasional,Rendahnya kesadaran kritis terhadap informasi yang bertentangan dengan nilai luhur bangsa,5,0,0,0,0,,,,,,
6,TWK,Seorang pemuda menolak simbol negara dan mengajak masyarakat mengganti sistem bernegara dengan ideologi tunggal yang diyakininya. Bentuk ancaman terhadap nasionalisme yang paling tepat adalah…,,Fanatisme kelompok yang menolak keberagaman ideologi,Radikalisme yang bertentangan dengan konsensus nasional,Separatisme ideologis yang memicu pemisahan wilayah,Intoleransi terhadap simbol dan praktik kebangsaan,Disintegrasi sosial akibat konflik pandangan,5,0,0,0,0,,,,,,
7,TWK,"Bacalah teks berikut!
Urbanisasi yang terjadi secara besar-besaran ke kota-kota besar di Indonesia memunculkan berbagai persoalan. Kepadatan penduduk menyebabkan permukiman kumuh tumbuh di berbagai sudut kota. Selain itu, meningkatnya kebutuhan akan lapangan kerja dan layanan publik seperti kesehatan dan pendidikan menambah beban pemerintah daerah. Kondisi ini memperlihatkan bahwa pertumbuhan penduduk yang tidak seimbang dengan pembangunan dapat menghambat kualitas hidup masyarakat kota.
Apa ide pokok paragraf tersebut?",,Urbanisasi menyebabkan permukiman kumuh dan pengangguran meningkat.,Urbanisasi besar-besaran menambah beban pemerintah daerah.,Pertumbuhan penduduk yang tidak seimbang dengan pembangunan menghambat kualitas hidup.,Banyak masyarakat pindah ke kota karena berharap kehidupan lebih baik.,Kebutuhan layanan publik meningkat akibat pertumbuhan penduduk.,5,0,0,0,0,,,,,,
8,TWK,"Bacalah paragraf berikut!
Dalam sebuah kampung kecil yang terletak di lereng gunung, warga saling membantu tanpa diminta. Ketika ada warga yang sedang sakit, tetangga datang membawa makanan dan bergantian menjaga. Anak-anak terbiasa menyapa orang dewasa dengan sopan, dan para orang tua selalu memberi teladan lewat tindakan sederhana seperti membuang sampah pada tempatnya. Tidak ada aturan tertulis, tapi semua seolah tahu batas dan kewajiban masing-masing.
Nilai sosial yang paling menonjol dalam paragraf tersebut adalah…",,Kejujuran dan keteladanan sebagai fondasi masyarakat.,Gotong royong dan kepedulian antarwarga.,Kedisiplinan dan kepatuhan terhadap aturan.,Ketertiban dan ketaatan pada norma hukum.,Kesederhanaan dan rasa hormat terhadap alam.,5,0,0,0,0,,,,,,
9,TWK,"Kata yang tepat untuk melengkapi bagian rumpang kalimat berikut adalah...
""Kemajuan teknologi informasi saat ini _____ kehidupan manusia, baik dari segi komunikasi maupun cara berpikir, sehingga kita perlu _____ dengan bijak.""",,mengubah – memanfaatkannya,merubah – menggunakannya,mempengaruhi – menanggapinya,memengaruhi – menggunakannya,mengubah – menolaknya,5,0,0,0,0,,,,,,
10,TWK,Manakah kalimat berikut yang menggunakan struktur dan ejaan baku sesuai kaidah Bahasa Indonesia?,,Para hadirin sekalian dimohon untuk memperhatikan susunan acara yang telah dibagikan.,"Untuk mengoptimalkan kinerja, manajemen akan merevisi SOP yang sudah berlaku semenjak tahun lalu.",Beliau menyarankan agar kita senantiasa menjaga kesehatan dan pola hidup yang teratur.,Rapat tersebut tidak dapat dihadiri oleh saya karena ada kegiatan yang tidak dapat ditinggal.,"Demi kelancaran acara, panitia mengkoordinir peserta agar segera memasuki ruangan.",5,0,0,0,0,,,,,,
11,TWK,"Kalimat berikut ini tidak efektif:
Untuk dapat memperoleh hasil yang maksimal, maka kita harus berusaha dengan sungguh-sungguh dan penuh semangat yang tinggi.
Manakah perbaikan yang paling tepat?",,Kita harus berusaha sungguh-sungguh dan penuh semangat untuk mendapatkan hasil maksimal.,"Untuk mendapatkan hasil maksimal, maka kita harus berusaha sungguh-sungguh dan penuh semangat.",Maka kita harus berusaha sungguh-sungguh supaya hasil yang didapatkan bisa maksimal.,"Untuk dapat memperoleh hasil yang maksimal, kita harus dengan semangat yang tinggi berusaha sungguh-sungguh.","Agar hasilnya bisa maksimal, maka kita harus sungguh-sungguh dan penuh semangat berusaha.",5,0,0,0,0,,,,,,
12,TWK,"Di era sekarang, sebagian generasi muda lebih memilih terlibat dalam aktivisme daring, pengembangan diri, dan ekspresi kebebasan pribadi ketimbang mengikuti program formal bela negara. Negara merasa semangat kebangsaan makin menurun. Konflik nilai apa yang paling mungkin terjadi dalam situasi ini?",,"Negara menuntut loyalitas kolektif, sementara generasi muda lebih menjunjung ekspresi individual.","Negara mengandalkan pendekatan formal, sedangkan generasi muda menuntut pendekatan berbasis komunitas.","Negara mendorong keterlibatan fisik, generasi muda lebih menekankan kontribusi berbasis keahlian.","Negara menyamaratakan cara bela negara, generasi muda menghendaki pilihan yang fleksibel dan adaptif.","Negara melihatnya sebagai kewajiban konstitusional, generasi muda memandang bela negara sebagai warisan usang",5,0,0,0,0,,,,,,
13,TWK,"Di tengah meningkatnya kesadaran sosial generasi milenial dan Gen Z, negara tetap menggunakan pendekatan formal dalam kampanye bela negara, seperti wajib upacara atau pelatihan baris-berbaris. Namun pendekatan ini kurang mendapat respon. Apa penyebab utama kegagalan negara dalam dalam konteks bela negara...",,Negara terlalu fokus pada bentuk-bentuk fisik bela negara yang bersifat simbolik.,Negara menekankan keseragaman ekspresi bela negara sebagai bentuk loyalitas.,Negara belum mengembangkan narasi bela negara yang kontekstual dan partisipatif.,"Negara memaknai bela negara sebagai kewajiban, bukan kebutuhan bersama.",Negara belum menjadikan aspirasi digital anak muda sebagai bagian dari strategi bela negara.,5,0,0,0,0,,,,,,
14,TWK,"Di tengah dominasi budaya global dan arus informasi digital yang masif, sebagian generasi muda lebih mengenal budaya luar daripada budaya sendiri. Dalam konteks ini, tantangan utama dalam menumbuhkan sikap cinta tanah air adalah:",,Rendahnya kemampuan memahami sejarah bangsa secara faktual,Kecenderungan mengagungkan simbol-simbol nasional secara berlebihan,Terbatasnya akses terhadap budaya asing yang bersifat edukatif,Ketidakseimbangan antara apresiasi terhadap budaya luar dan budaya sendiri,Sikap eksklusif terhadap budaya lokal yang dianggap tidak relevan,5,0,0,0,0,,,,,,
15,TWK,"Wacana penerapan wajib militer di Indonesia sering menuai pro dan kontra. Jika dikaitkan dengan semangat bela negara, apa tantangan terbesar dari wacana tersebut?",,Menimbulkan penolakan karena dianggap tidak sesuai dengan nilai demokrasi.,Berpotensi melanggar hak individu dalam menentukan jalan hidupnya.,Menyebabkan polemik karena dinilai bertentangan dengan kebebasan sipil.,Memunculkan resistensi masyarakat yang merasa haknya dibatasi negara.,Menghadirkan dilema antara pengabdian negara dan pilihan hidup warga.,5,0,0,0,0,,,,,,
16,TWK,"Dalam situasi bencana alam, warga di sebuah desa bergotong royong membangun dapur umum, membagikan logistik, dan menjaga ketertiban tanpa menunggu bantuan dari luar. Tindakan ini mencerminkan...",,Bela negara dalam bentuk penguatan nilai persatuan dan kesatuan,Pengamalan nilai kemanusiaan dalam bela negara,Partisipasi warga dalam bela negara berbasis kearifan lokal,Implementasi nilai keadilan sosial melalui tindakan bela negara,Manifestasi bela negara dalam konteks ketahanan wilayah,5,0,0,0,0,,,,,,
17,TWK,"Di sebuah desa, masyarakat menolak pembangunan pabrik karena dianggap merusak alam dan mengganggu kearifan lokal. Namun, pemerintah daerah mendorong investasi demi kemajuan ekonomi dan penciptaan lapangan kerja. Situasi ini mencerminkan tantangan dalam penerapan nilai Pancasila, yaitu...",,Keadilan sosial versus ketuhanan yang maha esa,Persatuan Indonesia versus kemanusiaan yang adil dan beradab,Kerakyatan yang dipimpin oleh hikmat kebijaksanaan versus keadilan sosial,Kemanusiaan yang adil dan beradab versus kesejahteraan bersama,Ketuhanan yang maha esa versus persatuan Indonesia,5,0,0,0,0,,,,,,
18,TWK,"Seorang siswa dari komunitas agama minoritas tidak diwajibkan mengikuti pelajaran agama di sekolah karena tidak tersedia guru agama dari keyakinannya. Namun, ia juga tidak diizinkan mengikuti pelajaran agama lain. Kebijakan tersebut berpotensi bertentangan dengan Pancasila karena...",,"Negara tidak memfasilitasi hak beragama sesuai sila pertama, sehingga melanggar keadilan menurut sila kedua","Siswa diperlakukan berbeda karena keyakinannya, bertentangan dengan asas Ketuhanan Yang Maha Esa","Hak siswa untuk belajar agama sesuai keyakinannya terabaikan, sehingga nilai kemanusiaan dan kesetaraan tidak terpenuhi","Ketidakhadiran guru agama dianggap wajar, tetapi pengabaian hak siswa menunjukkan ketidakadilan sosial",Pemisahan siswa dari pembelajaran agama mencerminkan toleransi namun kurang menjunjung keadilan dan kesetaraan,5,0,0,0,0,,,,,,
19,TWK,"Pemerintah mengadopsi teknologi digital dalam pelayanan publik yang awalnya diwarnai resistensi karena dianggap tidak “kearifan lokal”. Namun, kebijakan itu terus dilanjutkan karena terbukti meningkatkan keadilan akses. Kebijakan ini menunjukkan bahwa ideologi Pancasila...",,Menyesuaikan diri secara pragmatis terhadap kemajuan zaman demi efisiensi layanan,Mampu mengadaptasi nilai-nilai baru selama tidak bertentangan dengan nilai dasarnya,Mengutamakan keadilan sosial dengan cara menyesuaikan sistem global,Mengakomodasi perubahan demi kepentingan nasional semata,Fleksibel dalam mengadopsi teknologi selama tetap dalam bingkai demokrasi,5,0,0,0,0,,,,,,
20,TWK,"Sebuah peraturan daerah menetapkan bahwa warga yang tidak memiliki agama resmi tidak dapat mengakses bantuan sosial dari pemerintah daerah. Kebijakan ini kemudian digugat ke Mahkamah Konstitusi karena dinilai diskriminatif. Dalam konteks supremasi UUD 1945, tindakan tersebut menunjukkan bahwa…",,Setiap kebijakan daerah harus mendapat persetujuan Mahkamah Konstitusi terlebih dahulu,UUD 1945 tidak mengatur teknis pelaksanaan bantuan sosial secara rinci,Peraturan daerah dapat dibatalkan jika tidak sesuai dengan hak konstitusional warga negara,Peraturan daerah bisa saja berlaku jika sesuai dengan nilai lokal meskipun bertentangan dengan UUD,Hak konstitusional warga negara bersifat relatif tergantung pada norma daerah yang berlaku,5,0,0,0,0,,,,,,
21,TWK,"Dalam upaya meningkatkan kualitas pendidikan di daerah tertinggal, pemerintah membentuk program beasiswa afirmasi serta penempatan guru-guru terbaik dari berbagai wilayah. Kebijakan ini sejalan dengan nilai fundamental dalam Pembukaan UUD 1945, karena…",,Membuktikan peran negara sebagai pelaksana pendidikan nasional yang profesional dan netral,Menjalankan amanat undang-undang untuk menciptakan masyarakat yang adil dan makmur,Mengimplementasikan prinsip keadilan sosial dalam bidang pendidikan secara nyata,Memenuhi kewajiban negara untuk memberikan fasilitas pendidikan kepada seluruh rakyat,Menunjukkan tekad negara untuk mencerdaskan kehidupan bangsa secara menyeluruh dan merata,5,0,0,0,0,,,,,,
22,TWK,"Pasal 24C ayat (1) UUD 1945 menyebutkan bahwa Mahkamah Konstitusi (MK) memiliki kewenangan mengadili pada tingkat pertama dan terakhir yang putusannya bersifat final.  Dalam kasus berikut, manakah yang benar-benar merupakan kewenangan Mahkamah Konstitusi sesuai pasal tersebut?",,MK membatalkan hasil keputusan Rapat Paripurna DPR,MK mencabut Peraturan Presiden yang dianggap inkonstitusional,MK meninjau kembali vonis pidana yang dijatuhkan oleh MA,MK menguji Undang-Undang Ibu Kota Negara terhadap UUD 1945,MK menolak revisi UU yang bertentangan dengan nilai-nilai Pancasila,5,0,0,0,0,,,,,,
23,TWK,"Dalam situasi bencana alam yang parah di salah satu wilayah, pemerintah pusat mengambil alih penuh pengelolaan sumber daya dan kewenangan daerah untuk mempercepat pemulihan. Tindakan ini menunjukkan prinsip negara kesatuan karena...",,pengambilalihan pusat menunjukkan supremasi kekuasaan eksekutif,pemerintah pusat berhak mutlak atas seluruh wilayah tanpa batasan,daerah tidak memiliki otonomi jika terjadi kondisi darurat nasional,prinsip kesatuan berarti daerah hanya menjalankan perintah pusat,kewenangan pusat dapat menggantikan fungsi daerah demi efisiensi nasional,5,0,0,0,0,,,,,,
24,TWK,Meningkatnya perilaku koruptif di kalangan pejabat publik melemahkan kepercayaan rakyat kepada pemerintah. Kondisi ini menjadi ancaman bagi pilar negara karena…,,menghambat penegakan supremasi hukum dalam sistem ketatanegaraan,mengurangi efektivitas fungsi pemerintah dalam pelayanan publik,merusak prinsip keadilan sosial dalam kehidupan berbangsa dan bernegara,melemahkan wibawa pemerintah di mata masyarakat internasional,memicu berkurangnya rasa nasionalisme warga terhadap negaranya,5,0,0,0,0,,,,,,
25,TWK,"Di tengah meningkatnya ujaran kebencian berbasis identitas di media sosial, pemerintah mengeluarkan kebijakan literasi digital untuk siswa SMA. Namun, sebagian masyarakat menilai kebijakan ini terlalu intervensif dan membatasi kebebasan berekspresi. Dalam konteks Bhinneka Tunggal Ika, sikap paling tepat terhadap kebijakan ini adalah...",,Menolak kebijakan tersebut karena dapat mengancam kebebasan berpendapat yang dijamin konstitusi,Mendukung kebijakan tersebut sepenuhnya sebagai bentuk pengendalian ruang digital,Menerima kebijakan tersebut dengan syarat pelaksanaannya tidak bias terhadap kelompok tertentu,Membatasi hanya siswa dari daerah rawan konflik yang mengikuti kebijakan ini,Menunda implementasi kebijakan sampai ada persetujuan publik yang lebih luas,5,0,0,0,0,,,,,,
26,TWK,"Raisa adalah ASN yang dikenal jujur dan berani bersuara ketika melihat pelanggaran. Namun, setelah dipromosikan menjadi pejabat struktural, ia mulai ragu untuk menegur rekan sejawatnya yang melanggar aturan karena khawatir mengganggu hubungan kerja. Situasi ini paling tepat digunakan untuk menguji...",,Kemampuan beradaptasi dengan struktur birokrasi yang kompleks.,Kecerdasan emosional dalam menjaga hubungan,Ketaatan terhadap prosedur formal dalam menjalankan jabatan.,Konsistensi nilai pribadi dalam menghadapi tanggung jawab baru.,Loyalitas terhadap pimpinan dalam kondisi dilematis.,5,0,0,0,0,,,,,,
27,TWK,"Pak Hatta dikenal sebagai tokoh yang hidup sederhana meskipun pernah menduduki jabatan tinggi negara. Bahkan ia pernah ditolak kartu kredit karena tidak memiliki cukup tabungan pribadi. Dalam berbagai kesempatan, ia juga menolak hadiah dari pihak-pihak yang berkepentingan dengan kebijakan negara. Sikap Pak Hatta tersebut paling mencerminkan nilai integritas berikut, kecuali...",,Keteladanan dalam kejujuran dan kesederhanaan.,Menjaga independensi dari pengaruh kekuasaan eksternal.,Konsistensi antara prinsip dan perilaku dalam kehidupan publik.,Ketegasan dalam mengambil keputusan strategis pemerintahan.,Tanggung jawab moral sebagai pejabat publik terhadap rakyat.,5,0,0,0,0,,,,,,
28,TWK,"Buya Hamka memilih mengundurkan diri dari jabatan Ketua MUI ketika diminta menandatangani fatwa yang bertentangan dengan prinsipnya. Ia lebih memilih menjaga integritasnya meskipun menghadapi tekanan dari pemerintah. Dari tindakan Buya Hamka tersebut, nilai integritas yang paling menonjol adalah...",,"Kejujuran, karena ia menolak fatwa yang bertentangan dengan nuraninya.","Tanggung jawab, karena ia menjalankan perintah atasan dengan penuh kepatuhan.","Keadilan, karena ia mempertimbangkan dampak keputusan terhadap semua pihak.","Keberanian, karena ia mengambil risiko demi mempertahankan prinsip.","Disiplin, karena ia tetap berada dalam aturan organisasi.",5,0,0,0,0,,,,,,
29,TWK,"Seorang penyelidik KPK menemukan bukti kuat keterlibatan kerabat dekatnya dalam kasus suap. Jika ia tetap melanjutkan proses hukum sesuai bukti, maka tindakannya mencerminkan...",,Netralitas dalam konflik kepentingan,Kepatuhan terhadap hukum internal lembaga,Integritas dalam menjalankan tugas,Objektivitas dalam pengambilan keputusan,Profesionalisme berbasis hubungan personal,5,0,0,0,0,,,,,,
30,TWK,"Seorang auditor internal BUMN menemukan indikasi penyimpangan dalam penggunaan dana sponsorship oleh anak perusahaan. Namun, pihak direksi menekan auditor agar tidak melanjutkan laporan tersebut demi menjaga citra perusahaan, dan menjanjikan promosi jika auditor “bersikap bijak”. Tindakan yang paling mencerminkan integritas adalah…",,Melaporkan secara tertutup ke Kementerian BUMN meski berisiko dimutasi,Meminta waktu untuk mengumpulkan bukti lebih kuat agar tidak gegabah,Menolak tekanan direksi namun menyimpan temuan demi stabilitas internal,Menyampaikan temuan kepada komite audit sebagai kompromi internal,Menerima promosi tapi secara perlahan mendorong perbaikan dari dalam,5,0,0,0,0,,,,,,
31,TIU,Kompromi : Konflik = ... : ...,,Aliansi : Musuh,Gencatan : Perang,Solusi : Masalah,Koalisi : Partai,Tawaran : Permintaan,5,0,0,0,0,,,,,,
32,TIU,"Elang : Burung Hantu : Aves
Hubungan yang setara terdapat pada:",,Hiu : Paus : Mamalia,Kelinci : Anjing : Karnivora,Harimau : Serigala : Kucing Besar,Gajah : Rusa : Vertebrata,Semut : Belalang : Serangga,5,0,0,0,0,,,,,,
33,TIU,"Andi selalu latihan rutin untuk meningkatkan performanya saat bertanding.
Hubungan tersebut setara dengan...",,Mira sering berlibur panjang agar pikirannya kembali segar.,Rina belajar secara intensif supaya pemahamannya makin dalam,Toni makan makanan bergizi agar tulangnya kuat.,Dedi minum suplemen energi sebelum bermain bola.,Dina tidur cukup supaya tidak mengantuk di pagi hari.,5,0,0,0,0,,,,,,
34,TIU,"Guru memberikan nasihat kepada muridnya agar tetap semangat belajar.
Hubungan ini setara dengan...",,Dokter memberikan obat kepada pasien yang mengalami demam.,Kakak menasihati adik agar tidak pulang larut malam.,Petugas keamanan memeriksa barang bawaan setiap pengunjung.,Pemimpin upacara memberi aba-aba kepada peserta upacara.,Pemuka agama mengingatkan umatnya untuk berbuat kebaikan.,5,0,0,0,0,,,,,,
35,TIU,"Di sebuah sekolah, semua siswa kelas 9 diwajibkan mengikuti ujian praktik komputer.
Rania adalah salah satu siswa yang akan naik kelas 9 dan aktif dalam kegiatan ekstrakurikuler.
Ia sering membantu guru komputer di laboratorium setiap hari Senin.
kesimpulannya adalah…",,Semua siswa yang aktif ekstrakurikuler mengikuti ujian praktik komputer.,Rania membantu guru komputer karena ingin belajar lebih banyak.,Semua siswa kelas 9 aktif di kegiatan ekstrakurikuler.,Rania wajib mengikuti ujian praktik komputer.,Rania belum wajib mengikuti ujian praktik komputer.,5,0,0,0,0,,,,,,
36,TIU,"Di sebuah kota, pemerintah mengadakan program pelatihan kerja gratis bagi warga usia produktif.
Tidak semua warga usia produktif mendaftar dalam program tersebut.
Sebagian peserta yang mendaftar adalah lulusan SMA, dan sebagian lainnya lulusan universitas.
Sementara itu, Bagas adalah lulusan SMA yang sedang sibuk mengelola usaha keluarganya.
Kesimpulannya adalah…",,Bagas pasti mengikuti pelatihan karena dia lulusan SMA,Bagas tidak ikut pelatihan karena dia sibuk,Semua warga usia produktif wajib mengikuti pelatihan kerja.,Bagas sedang sibuk dengan usaha keluarganya,Tidak dapat disimpulkan,5,0,0,0,0,,,,,,
37,TIU,"Semua karyawan yang berhasil menyelesaikan proyek besar dalam tiga bulan pertama akan mendapatkan promosi jabatan. Andi adalah salah satu karyawan yang berhasil menyelesaikan proyek besar tersebut dalam waktu dua bulan. Selain itu, ia juga mendapat apresiasi langsung dari direksi.
Kesimpulan yang paling tepat berdasarkan pernyataan di atas adalah...",,Andi tidak mendapatkan promosi karena belum cukup tiga bulan.,Andi mendapatkan promosi jabatan.,Andi mendapatkan promosi jabatan karena mendapat apresiasi dari direksi.,Andi mendapatkan promosi karena menyelesaikan proyek dan aktif bekerja lembur,Tidak dapat disimpulkan,5,0,0,0,0,,,,,,
38,TIU,"Dalam sebuah universitas, mahasiswa yang mengambil mata kuliah Metodologi Penelitian harus sudah menyelesaikan mata kuliah Statistika Dasar.
Mahasiswa yang telah menyelesaikan Statistika Dasar diperbolehkan mengakses database penelitian kampus.
Nadia saat ini sedang mengambil mata kuliah Metodologi Penelitian dan aktif melakukan pencarian data dari database kampus.
Kesimpulan yang paling tepat adalah…",,Nadia mengambil Metodologi Penelitian karena ingin mengakses database.,Nadia belum menyelesaikan Statistika Dasar.,Nadia telah menyelesaikan Statistika Dasar.,Semua mahasiswa yang mengambil Metodologi Penelitian otomatis mengakses database.,Nadia mengikuti Statistika Dasar dan Metodologi Penelitian secara bersamaan.,5,0,0,0,0,,,,,,
