number,segment,content,image_url,option_a,option_b,option_c,option_d,option_e,score_a,score_b,score_c,score_d,score_e,discussion,option_image_a,option_image_b,option_image_c,option_image_d,option_image_e
86,TKP,Daniel tergabung dalam organisasi kepemudaan Provinsi. Ia menyarankan kepada Anda sebagai ketua asosiasi pemuda provinsi untuk melaksanakan Kerjasama dengan BNPT dalam mencegah tindakan radikalisme melalui kegiatan seminar wawasan kebangsaan. Maka sebaiknya sikap Anda adalah….,,"Mendukung dan menyetujui usulan Daniel, lalu mengadakan rapat dengan anggota asosiasi untuk membahas detail kerjasama dan pelaksanaan seminar.",Menolak usulan tersebut karena merasa bahwa organisasi pemuda harus fokus pada kegiatan lain yang lebih mendesak dan relevan dengan kebutuhan masyarakat saat ini.,"Menerima usulan Daniel, tetapi meminta agar seminar tersebut dilakukan tanpa melibatkan BNPT dan dikelola secara mandiri oleh asosiasi pemuda.","Menyepakati usulan Daniel, namun meminta agar seminar juga mencakup topik tentang hak asasi manusia dan toleransi untuk menciptakan pemahaman yang lebih luas.",Mengajukan pertanyaan kepada Daniel dan anggota asosiasi lainnya untuk menggali lebih dalam mengenai rencana dan tujuan seminar sebelum mengambil keputusan.,1,2,3,4,5,,,,,,
87,TKP,"Anda merupakan seorang pensiunan PNS. Anda sangat senang untuk mengisi waktu dengan berkebun. Namun, Anda diminta oleh warga untuk menjadi kepala kampung. Maka sebaiknya yang anda lakukan adalah......",,"Menolak secara halus dan berterima kasih atas kepercayaan warga, dengan alasan ingin menikmati masa pensiun dengan tenang tanpa terlibat dalam kegiatan formal, namun tetap bersedia membantu kampung dalam kegiatan sosial.",Menerima permintaan warga dengan syarat bahwa Anda akan melibatkan lebih banyak generasi muda dalam melaksanakan program kampung untuk memastikan kesinambungan pembangunan kampung.,Menerima langsung tawaran tersebut sebagai bentuk pengabdian kepada masyarakat dan berjanji akan menggunakan pengalaman sebagai PNS untuk membangun kampung dengan lebih baik.,"Meminta waktu untuk berpikir dan berkonsultasi dengan keluarga serta tokoh masyarakat sebelum mengambil keputusan, untuk memastikan bahwa pilihan yang diambil adalah yang terbaik bagi semua pihak.","Menolak secara tegas dengan menjelaskan bahwa menjadi kepala kampung membutuhkan energi dan fokus yang mungkin tidak lagi Anda miliki, tetapi menawarkan diri untuk mendukung dari belakang sebagai penasihat.",1,2,3,4,5,,,,,,
88,TKP,"Hilda, kepala sub bagian umum dan kepegawaian, memiliki atasan perfeksionis yang memeriksa laporan dan program secara sangat teliti, berbeda dengan atasan sebelumnya yang lebih memberi kepercayaan. Sikap Hilda yang sebaiknya adalah…",,Menyampaikan kepada pimpinannya bahwa ia merasa lebih nyaman dengan pendekatan kepemimpinan yang memberikan kepercayaan penuh tanpa memeriksa secara detail.,Mengabaikan perbedaan gaya kepemimpinan dan tetap bekerja sesuai dengan tugas dan tanggung jawab.,"Berusaha menyesuaikan diri dengan tuntutan pimpinannya saat ini, sambil secara bertahap memberikan saran untuk lebih mendelegasikan tanggung jawab.",Mengikuti gaya kepemimpinan pimpinannya saat ini dan memastikan setiap laporan serta program disiapkan dengan sangat detail agar sesuai dengan harapan.,Mengikuti gaya kepemimpinan yang baru dan memberikan usul untuk tidak terlalu detail jika pimpinan meminta masukan.,1,2,3,4,5,,,,,,
89,TKP,"Amelia mendapat tugas mengelola data keuangan dengan software baru di kantornya, namun ia kesulitan karena belum memahami cara kerjanya. Sikap Amelia yang sebaiknya adalah…",,"Mengkombinasikan penggunaan software terbaru dan lama, agar dapat menyelesaikan laporan tepat waktu.",Mencari panduan atau tutorial mengenai software tersebut secara mandiri dan mencoba memahami cara menggunakannya.,"Menghubungi rekan kerja yang lebih paham teknologi untuk meminta bantuan segera, agar tugasnya bisa cepat diselesaikan.",Melaporkan masalah ini kepada manajer dan meminta perpanjangan waktu penyelesaian laporan  untuk mempelajari software lebih lanjut.,"Mengabaikan kesulitan tersebut dan mencoba menyelesaikan tugas tanpa menggunakan software baru, meskipun hasilnya tidak sesuai harapan.",1,2,3,4,5,,,,,,
90,TKP,"Dalam rapat desa membahas keamanan desa, pengurus kampung ingin perwakilan mendapat kompensasi dari dana desa. Pihak desa menolak karena dianggap inisiatif yang tidak bisa dianggarkan. Suasana rapat memanas. Jika Anda sebagai ketua forum, Anda akan…",,Meminta pendapat dari para pengurus kampung satu per satu untuk memberikan ruang diskusi yang lebih terstruktur agar semua pandangan dapat didengar secara baik.,Mengingatkan semua pihak tentang pentingnya menjaga ketertiban dalam forum dan mencoba merumuskan solusi yang bersifat kompromis berdasarkan aturan yang berlaku.,Meminta jeda sementara untuk meredakan suasana dan memberikan kesempatan kepada setiap pihak untuk meninjau ulang argumen mereka.,Menjelaskan peraturan terkait penggunaan dana desa secara lebih rinci agar semua pihak memahami keterbatasan anggaran.,Menyudahi rapat lebih awal dan mengusulkan rapat lanjutan dengan mengundang ahli terkait penggunaan anggaran desa dan keamanan.,1,2,3,4,5,,,,,,
91,TKP,"Teman Anda sebagai bendahara hanya hadir saat pembayaran gaji atau membuat laporan akhir bulan, jarang terlibat dalam kegiatan harian yang butuh pengelolaan dana. Sikap Anda sebagai rekan kerja adalah…",,Menghubungi bendahara jika membutuhkan dana untuk kebutuhan kantor.,Meminta dukungan kepada rekan kerja lain agar membantu mengingatkan bendahara untuk hadir sesuai jam kantor.,Berdiskusi secara langsung tentang pentingnya kehadirannya dalam kegiatan harian serta dampak kehadirannya terhadap tim.,Melaporkan masalah ini kepada atasan agar tindakan lebih lanjut diambil terhadap bendahara tersebut.,Mengingatkan dan mengundangnya untuk ikut serta dalam kegiatan yang membutuhkan dana.,1,2,3,4,5,,,,,,
92,TKP,"Anda sebagai kepala divisi kepegawaian telah menempatkan siswa magang sesuai kapasitas, namun pimpinan meminta tambahan siswa dari sekolah dekat rumahnya. Anda khawatir jumlah berlebih akan membuat magang tidak efektif. Sikap Anda adalah…",,Menolak langsung permintaan pimpinan dengan alasan divisi sudah penuh dan tidak bisa menerima siswa magang tambahan.,Menerima permintaan pimpinan tanpa mempertimbangkan kondisi di lapangan dan mendistribusikan siswa tersebut ke divisi mana pun yang tersedia.,"Menginformasikan kepada pimpinan tentang kondisi kapasitas divisi yang sudah maksimal, serta menawarkan alternatif untuk menunda penerimaan siswa tambahan hingga periode magang berikutnya.",Meminta pengertian kepada pimpinan karena setiap divisi sudah dipenuhi oleh mahasiswa magang dari sekolah lain.,"Mengusulkan pengurangan jumlah siswa magang yang sudah ada untuk memberi ruang bagi siswa dari sekolah dekat tempat tinggal pimpinan, guna menjaga hubungan baik dengan pimpinan.",1,2,3,4,5,,,,,,
93,TKP,"Diana sedang melaksanakan kuliah semester 1. Dosen menuntutnya untuk mengakses materi pada platform e-learning serta mengerjakan tugas sesuai dengan waktu yang telah ditentukan. Diana tidak terbiasa membuka e-learning dan belum memahami fitur-fiturnya. Alhasil, Ia sering telambat mengumpulkan tugas. Maka sebaiknya yang Diana lakukan adalah.....",,Meminta bantuan teman untuk mengunduh materi dan mengumpulkan tugas melalui e-learning bersama-sama,Menghubungi dosen melalui email dan meminta waktu tambahan untuk mengerjakan tugas di e-learning,Mempelajari panduan penggunaan e-learning dan berlatih secara mandiri agar lebih lancar dalam mengakses serta mengumpulkan tugas tepat waktu,Menggunakan platform belajar lain seperti Google Drive untuk menyimpan tugas sebelum diunggah ke e-learning,Mencari aplikasi lain yang lebih sederhana untuk mengerjakan tugas dan menyampaikan hasilnya kepada dosen,1,2,3,4,5,,,,,,
94,TKP,Anda sebagai ketua panitia sedang menyelesaikan presentasi Dies Natalis yang akan dimulai 1 jam lagi. Rekan tim meminta presentasi dikoordinasikan dulu dengan ketua divisi lain. Sikap Anda adalah…,,Mengabaikan permintaan rekan Anda dan segera menyelesaikan presentasi sendiri untuk memastikan acara tetap berjalan sesuai jadwal.,Berkoordinasi dengan para ketua divisi melalui telepon untuk meminta penjelasan singkat dan melakukan penyesuaian dalam presentasi berdasarkan masukan tersebut.,"Menunda presentasi agar ada cukup waktu untuk berkoordinasi dengan ketua divisi, meskipun ini mungkin mengganggu rencana jadwal acara.","Meminta rekan Anda untuk menjelaskan poin penting yang Ia ketahui dari rencana kegiatan setiap divisi, kemudian melakukan revisi cepat berdasarkan input tersebut.","Menyampaikan kepada rekan Anda bahwa tidak ada cukup waktu untuk koordinasi saat ini, tetapi Anda akan memastikan semua ketua divisi diinformasikan tentang isi presentasi setelah acara.",1,2,3,4,5,,,,,,
95,TKP,"Anda diminta pimpinan mengikuti pelatihan perencanaan pembangunan desa selama 1 minggu. Hasilnya, Anda menyadari teori berbeda jauh dengan praktik di lapangan yang sering menyesuaikan anggaran demi kepentingan pimpinan. Setelah pelatihan, yang akan Anda lakukan adalah…",,Menggunakan ilmu yang didapat untuk menyusun rencana aksi yang lebih sesuai dengan kebutuhan masyarakat desa dan dikonsultasikan kepada pimpinan,Melibatkan masyarakat desa dalam proses perencanaan dengan mengadakan forum atau diskusi untuk mengidentifikasi kebutuhan dan aspirasi mereka.,Mengkomunikasikan hasil pelatihan dan temuan terkait kebutuhan masyarakat dalam proses perencanaan pembangunan kepada pimpinan.,Membentuk tim kerja yang terdiri dari anggota masyarakat dan stakeholder lainnya untuk merancang rencana pembangunan yang efektif.,Mengusulkan pelatihan berkelanjutan untuk anggota desa agar mereka lebih memahami perencanaan pembangunan yang baik dan partisipatif.,1,2,3,4,5,,,,,,
96,TKP,"Anda merupakan seorang arsiparis kantor. Anda sering sekali dikritik oleh pimpinan karena tidak bisa menyediakan data lama dengan cepat jika dibutuhkan oleh pimpinan. Hal ini padahal sudah disampaikan oleh pimpinan untuk membuat penyimpanan arsip digital agar mudah menemukan data ketika diperlukan. Setiap kali diminta, Anda harus mencari data tersebut cukup lama. Maka yang sebaiknya Anda lakukan adalah.......",,Meminta maaf kepada pimpinan dan menjelaskan bahwa proses pencarian arsip lama memang memakan waktu.,Mengusulkan kepada pimpinan untuk mempercepat proses digitalisasi arsip dan menambah sumber daya untuk melakukannya.,Mencatat data arsip yang sering diminta dan membuat daftar manual untuk mempercepat pencarian saat diperlukan.,Menyusun sistem arsip sementara dengan membuat folder arsip yang sering digunakan agar mudah ditemukan.,Segera melaksanakan perintah pimpinan untuk mendigitalisasi seluruh arsip agar pencarian data bisa lebih cepat dan efisien di masa mendatang,1,2,3,4,5,,,,,,
97,TKP,Rekan kerja Anda akhir-akhir ini sedang mengidolakan salah satu tokoh yang sering sekali menentang ideologi negara. Teman Anda tertarik dengan pemikiran tokoh tersebut terutama dari buku-buku yang Ia baca. Maka Anda sebagai sahabatnya akan …..,,"Melaporkan rekan Anda kepada atasan atau pihak berwenang, karena ketertarikannya terhadap tokoh yang menentang ideologi negara dapat memicu radikalisme di tempat kerja.","Mengabaikan perilaku rekan Anda dan tidak berusaha untuk terlibat dalam pemikiran atau minatnya terhadap tokoh tersebut, karena setiap orang berhak memiliki pandangan pribadi.",Memberikan referensi buku dan materi lain yang mendukung ideologi negara dan mengajak rekan Anda untuk membandingkan pemikiran tokoh idolanya dengan nilai-nilai Pancasila yang sudah disepakati sebagai dasar negara.,"Mengajak rekan Anda untuk berdiskusi secara terbuka tentang pandangan tokoh tersebut, lalu mengingatkannya tentang pentingnya menjaga ideologi negara dan kewaspadaan terhadap pemikiran yang bertentangan dengan Pancasila.","Mendiskusikan pandangan tokoh tersebut dengan rekan kerja lainnya untuk mendapatkan masukan dari sudut pandang yang berbeda, lalu bersama-sama mengajak rekan Anda kembali ke pemikiran yang sejalan dengan ideologi negara.",1,2,3,4,5,,,,,,
98,TKP,"Anda sebagai kepala bagian kepegawaian meninggalkan WhatsApp aktif di komputer kantor saat istirahat, sehingga rekan kerja membaca chat Anda dengan pimpinan terkait mutasi pegawai minggu depan. Sejak itu mereka menjauh karena merasa Anda tidak membagikan informasi tersebut. Sikap Anda sebaiknya adalah…",,"Mengabaikan sikap rekan-rekan yang menjauhi Anda, namun mulai membiasakan diri untuk selalu logout dari WhatsApp di komputer kantor setelah selesai digunakan agar mencegah kejadian serupa.",Meminta maaf kepada rekan-rekan dan menjelaskan bahwa informasi terkait mutasi merupakan rahasia jabatan.,Menegur rekan-rekan yang membaca pesan pribadi sambil berkomitmen untuk selalu logout dari akun pada perangkat kantor.,"Mengajak rekan-rekan berdiskusi secara terbuka, serta menjelaskan bahwa privasi digital harus dihormati. Anda juga memastikan ke depannya akan selalu logout dari akun WhatsApp di komputer kantor setelah selesai digunakan.","Membuat laporan kepada bagian IT untuk memastikan keamanan informasi di kantor, serta memberikan pelatihan kepada rekan-rekan tentang pentingnya keamanan data dan privasi digital, sekaligus memperbaiki kebiasaan logout dari perangkat setelah penggunaan.",1,2,3,4,5,,,,,,
99,TKP,"Anda diminta pimpinan untuk memimpin tim merancang dan mengimplementasikan sistem pengaduan yang efektif, transparan, dan cepat demi meningkatkan kepuasan publik. Langkah Anda adalah…",,Mengurangi alur penerimaan keluhan yang rumit agar memudahkan masyarakat dalam menyampaikan keluhan.,Melakukan survei kepuasan masyarakat secara rutin dan menggunakan masukan tersebut untuk memperbaiki sistem pengaduan.,Membuka layanan pengaduan secara online dan memantau setiap keluhan yang diterima agar segera ditindaklanjuti.,Membuat layanan pengaduan digital dan bersama tim menyusun standar penyelesaian pengaduan yang tepat waktu.,Pelayanan pengaduan dilakukan dengan menyediakan kotak saran di area pelayanan untuk menerima keluhan dari masyarakat.,1,2,3,4,5,,,,,,
100,TKP,"Anda adalah analis SDM yang harus menyusun laporan kepuasan karyawan untuk rapat pimpinan. Hasil survei menunjukkan ketidakpuasan signifikan, namun ada beberapa departemen yang datanya tidak lengkap. Sikap Anda adalah…",,Mengabaikan data dari departemen yang tidak memberikan masukan lengkap karena tidak ingin membingungkan rapat dengan informasi yang tidak akurat.,"Menyampaikan hasil survei apa adanya, termasuk ketidakpuasan yang ditemukan dan kurangnya masukan dari beberapa departemen, serta menyarankan untuk melakukan survei lanjutan",Mengatur pertemuan dengan masing-masing departemen untuk menggali lebih dalam mengenai ketidakpuasan mereka dan mendorong mereka untuk memberikan umpan balik.,Membuat rekomendasi langsung untuk perbaikan tanpa mempertimbangkan masukan dari semua departemen.,"Mengabaikan aspek yang tidak ada masukan lengkapnya, dan fokus hanya pada data yang lengkap untuk menyusun laporan.",1,2,3,4,5,,,,,,
101,TKP,"Anda adalah analis SDM yang harus menyusun laporan kepuasan karyawan untuk rapat pimpinan. Hasil survei menunjukkan ketidakpuasan signifikan, namun ada beberapa departemen yang datanya tidak lengkap. Sikap Anda adalah…",,Mengabaikan data dari departemen yang tidak memberikan masukan lengkap karena tidak ingin membingungkan rapat dengan informasi yang tidak akurat.,"Menyampaikan hasil survei apa adanya, termasuk ketidakpuasan yang ditemukan dan kurangnya masukan dari beberapa departemen, serta menyarankan untuk melakukan survei lanjutan",Mengatur pertemuan dengan masing-masing departemen untuk menggali lebih dalam mengenai ketidakpuasan mereka dan mendorong mereka untuk memberikan umpan balik.,Membuat rekomendasi langsung untuk perbaikan tanpa mempertimbangkan masukan dari semua departemen.,"Mengabaikan aspek yang tidak ada masukan lengkapnya, dan fokus hanya pada data yang lengkap untuk menyusun laporan.",1,2,3,4,5,,,,,,
102,TKP,"Firda, petugas loket kelurahan, didatangi warga 30 menit sebelum jam tutup dengan berkas administrasi yang tidak lengkap. Warga mendesak untuk dilayani, padahal daftar dokumen sudah tercantum di papan informasi dan website. Sikap Firda adalah…",,Memintanya dengan sopan untuk membaca papan pengumuman terlebih dahulu dan kembali setelah melengkapi berkas.,Memberitahukan warga secara baik-baik bahwa berkasnya belum lengkap dan dan menjelaskan bahwa tidak bisa diproses hingga semua persyaratan dipenuhi.,Memintanya untuk menunggu sementara waktu sambil Firda mencoba mencari solusi lain yang dapat memenuhi kebutuhan pelanggan tersebut,Melayaninya saja meskipun berkasnya tidak lengkap karena Anda ingin memberikan pelayanan maksimal.,Tetap melayaninya dan menyampaikan bahwa lain kali ia harus melengkapi semua berkas sesuai aturan.,1,2,3,4,5,,,,,,
103,TKP,"Maia bekerja di sebuah instansi pemerintah sebagai seorang bendahara pengeluaran. Setelah istirahat siang, ia dihadapkan pada tugas untuk membuat perencanaan keuangan selama satu tahun berjalan. Menurut Maia, hal tersebut cukup melelahkan karena ia baru saja kembali dari tugas kedinasan yang lain. Maka sikap Maia sebaiknya adalah ....",,Membawa pekerjaan tersebut ke rumah untuk diselesaikan setelah beristirahat nanti.,Meminta rekan kerja untuk saling membantu dalam menyelesaikan pekerjaan tersebut.,Menyelesaikan pekerjaan diruangan lain karena mungkin ia butuh pergantian suasana.,Menyelesaikan pekerjaan di kantor esok harinya dengan cepat setelah ia fit kembali.,Menyelesaikan pekerjaan dengan segera meskipun masih merasa kelelahan.,1,2,3,4,5,,,,,,
104,TKP,"Joko memimpin tim mengerjakan proyek penting di luar kota dengan tenggat seminggu. Di hari ketiga, Dina melakukan kesalahan karena tidak mengikuti SOP, mengganggu hasil kerja dan berpotensi menunda proyek. Sikap Joko adalah…",,Menegur Dina di depan anggota tim lainnya agar dia dapat langsung belajar dari kesalahannya dan memperbaiki kinerjanya di sisa proyek.,"Mengabaikan kesalahan Dina dan melanjutkan pekerjaan agar proyek bisa tetap selesai tepat waktu, karena memperdebatkan kesalahan bisa menghabiskan waktu.",Mendalami kesalahan yang telah diperbuatnya dan mengajaknya berbicara untuk memintanya bertanggung jawab terhadap hal tersebut,Membicarakannya dengan rekan kerja yang lain untuk dapat mengambil sikap dalam mengatasi situasi tersebut,"Segera melapor kepada atasan agar mereka bisa memberi tindakan yang sesuai, sambil mencari solusi bersama tim untuk memperbaiki efek akibat kesalahan tersebut.",1,2,3,4,5,,,,,,
105,TKP,"Malam ini anda berencana membantu adik anda dan teman kelompoknya untuk membuat sebuah artikel ilmiah. Ketika sedang mengajarkan cara membuat sebuah karya ilmiah yang baik, kemudian di televisi terdapat berita tentang semakin besarnya angka pengangguran di indonesia, yang dapat anda sarankan untuk adik dan dan teman kelompoknya adalah ....",,Meminta mereka untuk kuliah dengan sungguh-sungguh agar pada saat lulus nanti tidak sulit untuk mendapatkan pekerjaan,Meminta mereka untuk rajin dan serius ketika kuliah dan patuh terhadap seluruh aturan dikampus agar bisa lulus dengan cepat,Meminta mereka untuk tidak hanya menjadi kutu buku saja tapi juga ikut organisasi dengan resiko terlambat menyelesaikan perkuliahannya,Meminta mereka menyiapkan soft skill dan hard skill yang dapat dipergunakan dalam mendapatkan pekerjaan,"Tidak menyarankan apa apa, berharap mereka sadar sendiri nantinya tentang persaingan dunia kerja",1,2,3,4,5,,,,,,
106,TKP,"Gala, kepala bagian di kantor pajak, menghadapi warga yang keberatan atas pajak rumahnya. Setelah ditinjau, perhitungan pajak sudah sesuai aturan. Namun, warga tetap mendesak penurunan pajak dan berbicara dengan nada tinggi meski sudah dijelaskan prosedurnya oleh staf. Maka sikap Gala adalah…",,"Menjelaskan bahwa penghitungan pajak sudah sesuai aturan, dan menawarkan untuk meninjau ulang jika ada data tambahan.",Meminta maaf dan menemui warga tersebut dengan sopan untuk menjelaskan hasil perhitungan pajak yang sudah dihitung secara professional oleh stafnya tersebut,Meminta stafnya untuk memberikan penjelasan dengan bahasa yang lebih mudah dipahami oleh warga tersebut sambil meminta nya melakukan pelayanan yang terbaik,Meminta staf lain untuk ikut membantu menangani warga tersebut karena mungkin jika seorang yang menghadapinya tidak berhasil menanganinya.,Menginstruksikan stafnya untuk memenuhi permintaan warga agar tidak terjadi lagi konflik lebih lanjut.,1,2,3,4,5,,,,,,
107,TKP,"Roy bekerja di kementerian dengan pegawai beragam suku dan budaya. Dalam pagelaran seni budaya, tiap direktorat menampilkan kesenian daerah, meski tidak selalu sesuai asal masing-masing pegawai. Sikap Roy adalah…",,Menerima dan menjalankannya karena sudah menjadi ketentuan bahwa setiap orang harus menampilkan kesenian sesuai yang ditetapkan oleh pihak panitia,"Bersemangat untuk berlatih menampilkan pagelaran seni yang ditentukan, sehingga kesempatan tersebut digunakan untuk mengenal lebih jauh kesenian terkait",Besedia menampilkan kesenian tersebut dengan senang hati serta mengajak rekan yang lainnya untuk latihan dengan serius sehingga mampu menampilkan dengan baik,Meminta temannya yang berasal dari daerah asal kesenian tersebut untuk menjadi mentor agar dapat menampilkan kesenian yang berkualitas saat pentas berlangsung,"Berusaha untuk mengenal kesenian tersebut meskipun Roy merasa kesulitan untuk mengikutinya namun karena keharusan, maka harus dilaksanakan sebaik mungkin.",1,2,3,4,5,,,,,,
108,TKP,"Anda bekerja dalam tim. Seorang rekan kesulitan menyelesaikan tugas karena kurang paham aspek teknis, sementara tenggat proyek sudah dekat. Anda sudah selesai dengan tugas sendiri namun punya agenda pribadi setelah kerja. Sikap Anda adalah…",,"Menyelesaikan agenda pribadi terlebih dahulu karena itu penting, dan mengarahkan ia untuk mencari bantuan dari anggota tim lain yang mungkin bisa membantunya.",Menyelesaikan agenda pribadi terlebih dahulu dan menghubungi ia nanti sesuai kegiatan anda untuk membantunya dengan sungguh-sungguh,"Menawarkan bantuan kepadanya dan memberikan penjelasan dengan singkat agar dia bisa menyelesaikan tugasnya, lalu melanjutkan agenda pribadi Anda.","Menunda agenda pribadi sampai anda selesai membantunya menyelesaikan tugasnya hingga dia paham, meskipun memakan waktu yang lebih lama.","Memberikan seluruh arahan kepadanya dengan cepat sehingga bisa menyelesaikan tugasnya tanpa perlu pemahaman yang dalam, lalu melanjutkan agenda pribadi Anda.",1,2,3,4,5,,,,,,
109,TKP,Di daerah Anton bekerja marak aksi radikalisme. Atasan meminta seluruh pegawai mengusulkan program pencegahan berbasis data dan fakta lapangan yang berdampak jangka panjang. Ide yang sebaiknya Anton ajukan adalah…,,Merancang program giat literasi dengan membangun sudut baca dan isian buku-buku yang menumbuhkan rasa nasionalisme.,Mengusulkan kegiatan sosialisasi anti radikalisme kepada seluruh pegawai kantor pada akhir pekan nanti.,Mengadakan makan bersama seluruh pegawai kantor satu bulan sekali.,Membentuk tim cyber khusus untuk mengawasi postingan dan komentar para pegawai di media sosial.,Merancang aplikasi pelaporan online bagi pegawai yang diduga melakukan praktek radikalisme.,1,2,3,4,5,,,,,,
110,TKP,"Delfian, dosen CPNS di salah satu kampus negeri, dinilai kurang baik dalam mengajar dibanding rekan sejawat pada akhir semester. Sikap yang sebaiknya ia ambil adalah…",,"Membandingkan diri dengan rekan sejawat dan merasa kecewa, namun menunggu penilaian berikutnya untuk melihat apakah ada perubahan.","Menerima penilaian, tetapi tetap menggunakan metode lama karena merasa sudah sesuai dengan kemampuannya.","Menerima evaluasi dengan lapang dada, lalu mengikuti pelatihan atau belajar dari rekan sejawat untuk meningkatkan kualitas mengajar.","Mengevaluasi sendiri metode mengajarnya, mencari referensi tambahan, dan mencoba menerapkannya pada semester berikutnya.",Menolak hasil evaluasi dan menganggap penilaian atasan tidak objektif.,1,2,3,4,5,,,,,,
